Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts,Police Precinct,year
61742342,07/08/2024 08:15:38 AM,07/10/2024 12:19:18 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11413.0,134-16 225 STREET,225 STREET,MERRICK BOULEVARD,135 AVENUE,MERRICK BOULEVARD,135 AVENUE,ADDRESS,SPRINGFIELD GARDENS,225 STREET,,Closed,,The Department of Sanitation found an open service request already exists for the same location.,07/09/2024 04:56:23 AM,13 QUEENS,4131050003.0,QUEENS,1054961.0,186088.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.677162914131365,-73.74507113782376,"(40.677162914131365, -73.74507113782376)",15313.0,63.0,3.0,47.0,63.0,63.0,2024
61742343,07/08/2024 06:51:42 AM,,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11210.0,1571 ALBANY AVENUE,ALBANY AVENUE,FARRAGUT ROAD,GLENWOOD ROAD,FARRAGUT ROAD,GLENWOOD ROAD,ADDRESS,BROOKLYN,ALBANY AVENUE,,In Progress,,The Department of Sanitation removed the items.,07/08/2024 01:15:33 PM,17 BROOKLYN,3050160007.0,BROOKLYN,1001649.0,170693.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63517234284646,-73.93731229335181,"(40.63517234284646, -73.93731229335181)",17217.0,61.0,2.0,26.0,40.0,40.0,2024
61746499,07/08/2024 06:41:40 AM,07/11/2024 10:28:41 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11423.0,99-18 FARMERS BOULEVARD,FARMERS BOULEVARD,99 AVENUE,HENDERSON AVENUE,99 AVENUE,HENDERSON AVENUE,ADDRESS,HOLLIS,FARMERS BOULEVARD,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,07/10/2024 04:52:33 AM,12 QUEENS,4103640020.0,QUEENS,1048512.0,197794.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.70934222853281,-73.76820942927155,"(40.70934222853281, -73.76820942927155)",24332.0,41.0,3.0,6.0,61.0,61.0,2024
61730000,07/07/2024 05:41:15 PM,07/09/2024 11:53:35 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11434.0,116-22 MARSDEN STREET,MARSDEN STREET,116 AVENUE,166 STREET,116 AVENUE,166 STREET,ADDRESS,JAMAICA,MARSDEN STREET,,Closed,,The Department of Sanitation cleaned the location.,07/08/2024 06:51:10 AM,12 QUEENS,4123350109.0,QUEENS,1044722.0,189310.0,PHONE,Unspecified,QUEENS,,,,,,,,40.68608241121175,-73.78195592770948,"(40.68608241121175, -73.78195592770948)",24669.0,41.0,3.0,46.0,71.0,71.0,2024
61728904,07/07/2024 04:03:49 PM,07/09/2024 04:07:00 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11209.0,9101 SHORE ROAD,SHORE ROAD,91 STREET,92 STREET,91 STREET,92 STREET,ADDRESS,BROOKLYN,SHORE ROAD,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,07/08/2024 12:35:19 PM,10 BROOKLYN,3060830001.0,BROOKLYN,973087.0,165709.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.621502367893385,-74.04021147860065,"(40.621502367893385, -74.04021147860065)",17216.0,10.0,2.0,44.0,41.0,41.0,2024
61733143,07/07/2024 03:16:16 PM,07/09/2024 04:07:18 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11209.0,91 STREET,91 STREET,91 STREET,SHORE ROAD,91 STREET,SHORE ROAD,INTERSECTION,,,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,07/08/2024 12:37:29 PM,10 BROOKLYN,,BROOKLYN,973096.0,165756.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.62163138441027,-74.04017913636484,"(40.62163138441027, -74.04017913636484)",17216.0,10.0,2.0,44.0,41.0,41.0,2024
61729999,07/07/2024 02:23:13 PM,07/09/2024 04:06:56 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11209.0,9000 SHORE ROAD,SHORE ROAD,NARROWS AVENUE,91 STREET,NARROWS AVENUE,91 STREET,ADDRESS,BROOKLYN,SHORE ROAD,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,07/08/2024 12:36:45 PM,10 BROOKLYN,3060780010.0,BROOKLYN,973098.0,165933.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.62211721493634,-74.04017222433133,"(40.62211721493634, -74.04017222433133)",17216.0,10.0,2.0,44.0,41.0,41.0,2024
61734151,07/07/2024 02:12:46 PM,07/09/2024 04:07:17 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11209.0,91 STREET,91 STREET,91 STREET,SHORE ROAD,91 STREET,SHORE ROAD,INTERSECTION,,,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,07/08/2024 12:37:29 PM,10 BROOKLYN,,BROOKLYN,973096.0,165756.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.62163138441027,-74.04017913636484,"(40.62163138441027, -74.04017913636484)",17216.0,10.0,2.0,44.0,41.0,41.0,2024
61731036,07/07/2024 01:06:27 PM,07/09/2024 04:07:17 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11209.0,91 STREET,91 STREET,91 STREET,SHORE ROAD,91 STREET,SHORE ROAD,INTERSECTION,,,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,07/08/2024 12:37:29 PM,10 BROOKLYN,,BROOKLYN,973096.0,165756.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.62163138441027,-74.04017913636484,"(40.62163138441027, -74.04017913636484)",17216.0,10.0,2.0,44.0,41.0,41.0,2024
61732061,07/07/2024 12:57:21 PM,07/09/2024 08:48:00 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10452.0,237 WEST  167 STREET,WEST  167 STREET,WEST  168 STREET,SEDGWICK AVENUE,WEST  168 STREET,SEDGWICK AVENUE,ADDRESS,BRONX,WEST  167 STREET,,Closed,,The Department of Sanitation cleaned the location.,07/08/2024 04:12:25 AM,04 BRONX,2025300007.0,BRONX,1004049.0,245103.0,PHONE,Unspecified,BRONX,,,,,,,,40.83940417008936,-73.92844622614352,"(40.83940417008936, -73.92844622614352)",10930.0,50.0,5.0,42.0,27.0,27.0,2024
61735212,07/07/2024 11:59:05 AM,07/09/2024 04:07:16 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11209.0,91 STREET,91 STREET,91 STREET,SHORE ROAD,91 STREET,SHORE ROAD,INTERSECTION,,,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,07/08/2024 12:37:29 PM,10 BROOKLYN,,BROOKLYN,973096.0,165756.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.62163138441027,-74.04017913636484,"(40.62163138441027, -74.04017913636484)",17216.0,10.0,2.0,44.0,41.0,41.0,2024
61733142,07/07/2024 11:43:58 AM,07/09/2024 02:41:37 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11207.0,9 SCHENCK AVENUE,SCHENCK AVENUE,JAMAICA AVENUE,ARLINGTON AVENUE,JAMAICA AVENUE,ARLINGTON AVENUE,ADDRESS,BROOKLYN,SCHENCK AVENUE,,Closed,,The Department of Sanitation cleaned the location.,07/08/2024 06:50:40 AM,05 BROOKLYN,3039200017.0,BROOKLYN,1014606.0,187411.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.681024616177126,-73.89055366552108,"(40.681024616177126, -73.89055366552108)",17214.0,45.0,2.0,37.0,47.0,47.0,2024
61734150,07/07/2024 10:58:28 AM,07/09/2024 04:07:01 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11209.0,9101 SHORE ROAD,SHORE ROAD,91 STREET,92 STREET,91 STREET,92 STREET,ADDRESS,BROOKLYN,SHORE ROAD,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,07/08/2024 12:35:19 PM,10 BROOKLYN,3060830001.0,BROOKLYN,973087.0,165709.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.621502367893385,-74.04021147860065,"(40.621502367893385, -74.04021147860065)",17216.0,10.0,2.0,44.0,41.0,41.0,2024
61735211,07/07/2024 09:56:36 AM,07/09/2024 04:07:02 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11209.0,9101 SHORE ROAD,SHORE ROAD,91 STREET,92 STREET,91 STREET,92 STREET,ADDRESS,BROOKLYN,SHORE ROAD,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,07/08/2024 12:35:19 PM,10 BROOKLYN,3060830001.0,BROOKLYN,973087.0,165709.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.621502367893385,-74.04021147860065,"(40.621502367893385, -74.04021147860065)",17216.0,10.0,2.0,44.0,41.0,41.0,2024
61732060,07/07/2024 08:56:24 AM,07/09/2024 04:06:55 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11209.0,9000 SHORE ROAD,SHORE ROAD,NARROWS AVENUE,91 STREET,NARROWS AVENUE,91 STREET,ADDRESS,BROOKLYN,SHORE ROAD,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,07/08/2024 12:36:45 PM,10 BROOKLYN,3060780010.0,BROOKLYN,973098.0,165933.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.62211721493634,-74.04017222433133,"(40.62211721493634, -74.04017222433133)",17216.0,10.0,2.0,44.0,41.0,41.0,2024
61735228,07/07/2024 08:01:33 AM,07/09/2024 04:07:22 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11209.0,91 STREET,91 STREET,91 STREET,SHORE ROAD,91 STREET,SHORE ROAD,INTERSECTION,,,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,07/08/2024 12:37:29 PM,10 BROOKLYN,,BROOKLYN,973096.0,165756.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.62163138441027,-74.04017913636484,"(40.62163138441027, -74.04017913636484)",17216.0,10.0,2.0,44.0,41.0,41.0,2024
61724379,07/06/2024 06:57:20 PM,07/09/2024 04:07:20 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11209.0,91 STREET,91 STREET,91 STREET,SHORE ROAD,91 STREET,SHORE ROAD,INTERSECTION,,,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,07/08/2024 12:37:29 PM,10 BROOKLYN,,BROOKLYN,973096.0,165756.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.62163138441027,-74.04017913636484,"(40.62163138441027, -74.04017913636484)",17216.0,10.0,2.0,44.0,41.0,41.0,2024
61721968,07/06/2024 06:18:20 PM,07/09/2024 04:07:21 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11209.0,91 STREET,91 STREET,91 STREET,SHORE ROAD,91 STREET,SHORE ROAD,INTERSECTION,,,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,07/08/2024 12:37:29 PM,10 BROOKLYN,,BROOKLYN,973096.0,165756.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.62163138441027,-74.04017913636484,"(40.62163138441027, -74.04017913636484)",17216.0,10.0,2.0,44.0,41.0,41.0,2024
61720821,07/06/2024 04:44:40 PM,07/09/2024 04:06:59 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11209.0,9101 SHORE ROAD,SHORE ROAD,91 STREET,92 STREET,91 STREET,92 STREET,ADDRESS,BROOKLYN,SHORE ROAD,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,07/08/2024 12:35:19 PM,10 BROOKLYN,3060830001.0,BROOKLYN,973087.0,165709.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.621502367893385,-74.04021147860065,"(40.621502367893385, -74.04021147860065)",17216.0,10.0,2.0,44.0,41.0,41.0,2024
61721967,07/06/2024 02:40:45 PM,07/09/2024 04:07:19 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11209.0,91 STREET,91 STREET,91 STREET,SHORE ROAD,91 STREET,SHORE ROAD,INTERSECTION,,,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,07/08/2024 12:37:29 PM,10 BROOKLYN,,BROOKLYN,973096.0,165756.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.62163138441027,-74.04017913636484,"(40.62163138441027, -74.04017913636484)",17216.0,10.0,2.0,44.0,41.0,41.0,2024
61725555,07/06/2024 01:26:19 PM,07/09/2024 04:07:23 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11209.0,91 STREET,91 STREET,91 STREET,SHORE ROAD,91 STREET,SHORE ROAD,INTERSECTION,,,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,07/08/2024 12:37:29 PM,10 BROOKLYN,,BROOKLYN,973096.0,165756.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.62163138441027,-74.04017913636484,"(40.62163138441027, -74.04017913636484)",17216.0,10.0,2.0,44.0,41.0,41.0,2024
61720807,07/06/2024 10:54:01 AM,07/06/2024 01:01:43 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11209.0,9125 SHORE ROAD,SHORE ROAD,91 STREET,92 STREET,91 STREET,92 STREET,ADDRESS,BROOKLYN,SHORE ROAD,,Closed,,The Department of Sanitation found an open service request already exists for the same location.,07/06/2024 12:47:51 PM,10 BROOKLYN,3060830001.0,BROOKLYN,973073.0,165656.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6213568763123,-74.04026182179388,"(40.6213568763123, -74.04026182179388)",17216.0,10.0,2.0,44.0,41.0,41.0,2024
61718386,07/06/2024 09:00:55 AM,07/06/2024 01:01:42 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11209.0,9125 SHORE ROAD,SHORE ROAD,91 STREET,92 STREET,91 STREET,92 STREET,ADDRESS,BROOKLYN,SHORE ROAD,,Closed,,The Department of Sanitation found an open service request already exists for the same location.,07/06/2024 12:47:48 PM,10 BROOKLYN,3060830001.0,BROOKLYN,973073.0,165656.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6213568763123,-74.04026182179388,"(40.6213568763123, -74.04026182179388)",17216.0,10.0,2.0,44.0,41.0,41.0,2024
61724388,07/06/2024 08:47:14 AM,07/09/2024 04:07:15 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11209.0,91 STREET,91 STREET,91 STREET,SHORE ROAD,91 STREET,SHORE ROAD,INTERSECTION,,,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,07/08/2024 12:37:29 PM,10 BROOKLYN,,BROOKLYN,973096.0,165756.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.62163138441027,-74.04017913636484,"(40.62163138441027, -74.04017913636484)",17216.0,10.0,2.0,44.0,41.0,41.0,2024
61717174,07/05/2024 02:27:57 PM,07/06/2024 01:01:13 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11220.0,172 67 STREET,67 STREET,BERGEN PLACE,RIDGE BOULEVARD,BERGEN PLACE,RIDGE BOULEVARD,ADDRESS,BROOKLYN,67 STREET,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,07/06/2024 10:25:41 AM,10 BROOKLYN,3058480037.0,BROOKLYN,976440.0,172067.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63895732482393,-74.02814062451145,"(40.63895732482393, -74.02814062451145)",18180.0,10.0,2.0,44.0,41.0,41.0,2024
