,Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts,Police Precinct,year
277,61704506,07/04/2024 11:24:22 AM,07/05/2024 01:53:26 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11420.0,122 STREET,122 STREET,122 STREET,SUTTER AVENUE,122 STREET,SUTTER AVENUE,INTERSECTION,,,,Closed,,The Department of Sanitation cleaned the location.,07/05/2024 04:44:52 AM,10 QUEENS,,QUEENS,1035020.0,184768.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.6736766469254,-73.81697256533013,"(40.6736766469254, -73.81697256533013)",24016.0,62.0,3.0,46.0,64.0,64.0,2024
297,61690284,07/03/2024 08:44:39 PM,07/06/2024 02:07:46 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11365.0,184-06 64 AVENUE,64 AVENUE,184 STREET,185 STREET,184 STREET,185 STREET,ADDRESS,FRESH MEADOWS,64 AVENUE,,Closed,,The Department of Sanitation removed the items.,07/05/2024 11:56:52 AM,08 QUEENS,4070910003.0,QUEENS,1042651.0,208272.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.738142343131045,-73.78925882206961,"(40.738142343131045, -73.78925882206961)",14507.0,25.0,3.0,24.0,65.0,65.0,2024
304,61694407,07/03/2024 04:47:50 PM,07/06/2024 12:57:53 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11207.0,437 DEWITT AVENUE,DEWITT AVENUE,LOUISIANA AVENUE,LINDEN BOULEVARD,LOUISIANA AVENUE,LINDEN BOULEVARD,ADDRESS,BROOKLYN,DE WITT AVENUE,,Closed,,The Department of Sanitation removed the items.,07/05/2024 10:03:31 AM,05 BROOKLYN,3043180032.0,BROOKLYN,1013648.0,178638.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.656947940203736,-73.89404591977383,"(40.656947940203736, -73.89404591977383)",17214.0,45.0,2.0,25.0,47.0,47.0,2024
363,61665878,07/01/2024 08:52:01 PM,07/03/2024 03:04:07 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10465.0,744 THROGGS NECK EXPRESSWAY,THROGGS NECK EXPRESSWAY,RANDALL AVENUE,THROGS NECK EP NB ET LAFAYETTE,RANDALL AVENUE,THROGS NECK EP NB ET LAFAYETTE,ADDRESS,BRONX,THROGS NECK EXPRESSWAY SVC RD,,Closed,,The Department of Sanitation removed the items.,07/02/2024 05:11:15 AM,10 BRONX,2054750050.0,BRONX,1034617.0,241401.0,PHONE,Unspecified,BRONX,,,,,,,,40.82912183073511,-73.81800120292962,"(40.82912183073511, -73.81800120292962)",11274.0,43.0,5.0,12.0,28.0,28.0,2024
403,61658599,06/30/2024 07:30:26 PM,07/01/2024 02:27:02 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11434.0,127 AVENUE,127 AVENUE,127 AVENUE,174 PLACE,127 AVENUE,174 PLACE,INTERSECTION,,,,Closed,,The Department of Sanitation removed the items.,07/01/2024 03:33:27 AM,12 QUEENS,,QUEENS,1048147.0,187373.0,PHONE,Unspecified,QUEENS,,,,,,,,40.68074174322605,-73.76962481841535,"(40.680741743226044, -73.76962481841535)",24669.0,41.0,3.0,6.0,71.0,71.0,2024
407,61658600,06/30/2024 03:50:14 PM,07/03/2024 02:14:29 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11428.0,219-46 JAMAICA AVENUE,JAMAICA AVENUE,SPRINGFIELD BOULEVARD,220 STREET,SPRINGFIELD BOULEVARD,220 STREET,ADDRESS,QUEENS VILLAGE,JAMAICA AVENUE,,Closed,,The Department of Sanitation removed the items.,07/02/2024 05:16:28 AM,13 QUEENS,4107890258.0,QUEENS,1057763.0,201234.0,PHONE,Unspecified,QUEENS,,,,,,,,40.718712139016965,-73.73480405362308,"(40.718712139016965, -73.73480405362308)",24338.0,63.0,3.0,6.0,63.0,63.0,2024
411,61654520,06/30/2024 01:51:47 PM,07/01/2024 04:09:58 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11235.0,2801 EMMONS AVENUE,EMMONS AVENUE,EAST   28 STREET,EAST   29 STREET,EAST   28 STREET,EAST   29 STREET,ADDRESS,BROOKLYN,EMMONS AVENUE,,Closed,,The Department of Sanitation removed the items.,07/01/2024 10:44:07 AM,15 BROOKLYN,3087920063.0,BROOKLYN,1000755.0,151993.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.58384640489819,-73.94057903203756,"(40.58384640489819, -73.94057903203756)",13826.0,32.0,2.0,15.0,36.0,36.0,2024
412,61659590,06/30/2024 01:49:49 PM,07/03/2024 03:05:14 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11207.0,429 DE WITT AVENUE,DE WITT AVENUE,LOUISIANA AVENUE,LINDEN BOULEVARD,LOUISIANA AVENUE,LINDEN BOULEVARD,ADDRESS,BROOKLYN,DE WITT AVENUE,,Closed,,The Department of Sanitation removed the items.,07/01/2024 05:36:27 AM,05 BROOKLYN,3043180036.0,BROOKLYN,1013590.0,178606.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.65686029965301,-73.89425509807262,"(40.65686029965301, -73.89425509807262)",17214.0,45.0,2.0,25.0,47.0,47.0,2024
444,61653520,06/29/2024 01:08:58 PM,07/01/2024 04:09:28 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11235.0,2120 VOORHIES AVENUE,VOORHIES AVENUE,EAST   21 STREET,EAST   22 STREET,EAST   21 STREET,EAST   22 STREET,ADDRESS,BROOKLYN,VOORHIES AVENUE,,Closed,,The Department of Sanitation removed the items.,07/01/2024 10:47:07 AM,15 BROOKLYN,3087770010.0,BROOKLYN,998943.0,152941.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.58645166463096,-73.94710049511669,"(40.586451664630964, -73.94710049511669)",13826.0,32.0,2.0,15.0,36.0,36.0,2024
458,61640558,06/28/2024 08:26:30 PM,07/01/2024 06:29:49 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10465.0,3186 LAYTON AVENUE,LAYTON AVENUE,THROGMORTON AVENUE,VINCENT AVENUE,THROGMORTON AVENUE,VINCENT AVENUE,ADDRESS,BRONX,LAYTON AVENUE,,Closed,,The Department of Sanitation removed the items.,06/29/2024 07:10:42 AM,10 BRONX,2054590006.0,BRONX,1033748.0,243471.0,ONLINE,Unspecified,BRONX,,,,,,,,40.83480828679461,-73.82112601108456,"(40.83480828679461, -73.82112601108456)",11274.0,43.0,5.0,12.0,28.0,28.0,2024
526,61617751,06/26/2024 11:26:12 PM,06/27/2024 02:40:51 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11358.0,47-03 161 STREET,161 STREET,LABURNUM AVENUE,OAK AVENUE,LABURNUM AVENUE,OAK AVENUE,ADDRESS,FLUSHING,161 STREET,,Closed,,The Department of Sanitation removed the items.,06/27/2024 04:28:21 AM,07 QUEENS,4054910031.0,QUEENS,1037963.0,213105.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.7514373998495,-73.80613690962498,"(40.7514373998495, -73.80613690962498)",14193.0,22.0,3.0,3.0,67.0,67.0,2024
534,61617725,06/26/2024 06:53:43 PM,06/28/2024 12:40:10 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10471.0,404 WEST  255 STREET,WEST  255 STREET,FIELDSTON ROAD,MOSHOLU AVENUE,FIELDSTON ROAD,MOSHOLU AVENUE,ADDRESS,BRONX,WEST  255 STREET,,Closed,,The Department of Sanitation cleaned the location.,06/27/2024 05:20:50 PM,08 BRONX,2058471335.0,BRONX,1010977.0,268111.0,ONLINE,Unspecified,BRONX,,,,,,,,40.90253579632841,-73.90331661001726,"(40.90253579632841, -73.90331661001726)",11609.0,48.0,5.0,40.0,33.0,33.0,2024
535,61616298,06/26/2024 06:46:56 PM,06/27/2024 02:40:50 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11358.0,47-03 161 STREET,161 STREET,LABURNUM AVENUE,OAK AVENUE,LABURNUM AVENUE,OAK AVENUE,ADDRESS,FLUSHING,161 STREET,,Closed,,The Department of Sanitation removed the items.,06/27/2024 04:28:13 AM,07 QUEENS,4054910031.0,QUEENS,1037963.0,213105.0,PHONE,Unspecified,QUEENS,,,,,,,,40.7514373998495,-73.80613690962498,"(40.7514373998495, -73.80613690962498)",14193.0,22.0,3.0,3.0,67.0,67.0,2024
540,61613399,06/26/2024 04:08:18 PM,06/27/2024 02:09:02 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10312.0,4727 HYLAN BOULEVARD,HYLAN BOULEVARD,HAROLD AVENUE,BENNETT PLACE,HAROLD AVENUE,BENNETT PLACE,ADDRESS,STATEN ISLAND,HYLAN BOULEVARD,,Closed,,The Department of Sanitation removed the items.,06/26/2024 11:06:23 PM,03 STATEN ISLAND,5063560001.0,STATEN ISLAND,938721.0,131816.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.52836295006322,-74.16377660795092,"(40.52836295006322, -74.16377660795092)",10699.0,15.0,1.0,9.0,77.0,77.0,2024
596,61607752,06/25/2024 08:53:28 AM,06/25/2024 12:43:56 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10312.0,4603 HYLAN BOULEVARD,HYLAN BOULEVARD,WOODS OF ARDEN ROAD,ARDEN AVENUE,WOODS OF ARDEN ROAD,ARDEN AVENUE,ADDRESS,STATEN ISLAND,HYLAN BOULEVARD,,Closed,,The Department of Sanitation removed the items.,06/25/2024 10:26:19 AM,03 STATEN ISLAND,5053860061.0,STATEN ISLAND,939814.0,132415.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.53001263289506,-74.15984881660937,"(40.53001263289506, -74.15984881660937)",10699.0,15.0,1.0,9.0,77.0,77.0,2024
610,61595820,06/24/2024 10:34:15 PM,06/26/2024 12:39:17 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10305.0,343 SAND LANE,SAND LANE,OCEANSIDE AVENUE,SUNNYMEADE VILLAGE,OCEANSIDE AVENUE,SUNNYMEADE VILLAGE,ADDRESS,STATEN ISLAND,SAND LANE,,Closed,,The Department of Sanitation cleaned the location.,06/25/2024 12:14:12 PM,02 STATEN ISLAND,5031220020.0,STATEN ISLAND,965511.0,154705.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.59128586103732,-74.06747128711925,"(40.59128586103732, -74.06747128711925)",10692.0,30.0,1.0,14.0,76.0,76.0,2024
620,61589489,06/24/2024 02:29:34 PM,06/25/2024 12:49:00 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11433.0,160-10 111 AVENUE,111 AVENUE,160 STREET,UNION HALL STREET,160 STREET,UNION HALL STREET,ADDRESS,JAMAICA,111 AVENUE,,Closed,,The Department of Sanitation cleaned the location.,06/25/2024 07:19:54 AM,12 QUEENS,4121810014.0,QUEENS,1042656.0,191143.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.69112743477467,-73.78938939026749,"(40.69112743477467, -73.78938939026749)",24668.0,41.0,3.0,46.0,71.0,71.0,2024
621,61594242,06/24/2024 02:16:32 PM,06/24/2024 03:23:07 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10312.0,ARDEN AVENUE,ARDEN AVENUE,ARDEN AVENUE,HYLAN BOULEVARD,ARDEN AVENUE,HYLAN BOULEVARD,INTERSECTION,,,,Closed,,The Department of Sanitation cleaned the location.,06/24/2024 02:16:41 PM,03 STATEN ISLAND,,STATEN ISLAND,939396.0,132183.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.529373733559744,-74.16135093979543,"(40.529373733559744, -74.16135093979543)",10699.0,15.0,1.0,9.0,77.0,77.0,2024
647,61580728,06/23/2024 05:17:19 PM,06/24/2024 02:00:21 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11432.0,165-09 85 AVENUE,85 AVENUE,165 STREET,CHAPIN PARKWAY,165 STREET,CHAPIN PARKWAY,ADDRESS,JAMAICA,85 AVENUE,,Closed,,The Department of Sanitation removed the items.,06/24/2024 12:38:27 PM,08 QUEENS,4098550005.0,QUEENS,1039663.0,199129.0,PHONE,Unspecified,QUEENS,,,,,,,,40.71306632106397,-73.80011632568453,"(40.71306632106397, -73.80011632568453)",24340.0,25.0,3.0,24.0,65.0,65.0,2024
648,61583288,06/23/2024 05:13:20 PM,06/24/2024 03:23:08 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10312.0,ARDEN AVENUE,ARDEN AVENUE,ARDEN AVENUE,HYLAN BOULEVARD,ARDEN AVENUE,HYLAN BOULEVARD,INTERSECTION,,,,Closed,,The Department of Sanitation cleaned the location.,06/24/2024 09:22:29 AM,03 STATEN ISLAND,,STATEN ISLAND,939396.0,132183.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.529373733559744,-74.16135093979543,"(40.529373733559744, -74.16135093979543)",10699.0,15.0,1.0,9.0,77.0,77.0,2024
665,61583287,06/23/2024 07:21:29 AM,06/24/2024 03:23:07 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10312.0,ARDEN AVENUE,ARDEN AVENUE,ARDEN AVENUE,HYLAN BOULEVARD,ARDEN AVENUE,HYLAN BOULEVARD,INTERSECTION,,,,Closed,,The Department of Sanitation cleaned the location.,06/24/2024 09:22:24 AM,03 STATEN ISLAND,,STATEN ISLAND,939396.0,132183.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.529373733559744,-74.16135093979543,"(40.529373733559744, -74.16135093979543)",10699.0,15.0,1.0,9.0,77.0,77.0,2024
675,61569655,06/22/2024 05:46:26 PM,06/25/2024 05:51:57 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11210.0,AVENUE M,AVENUE M,AVENUE M,EAST   26 STREET,AVENUE M,EAST   26 STREET,INTERSECTION,,,,Closed,,The Department of Sanitation removed the items.,06/24/2024 05:25:57 AM,14 BROOKLYN,,BROOKLYN,998326.0,164867.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.61918710437958,-73.94929703918037,"(40.61918710437958, -73.94929703918037)",17217.0,60.0,2.0,15.0,43.0,43.0,2024
717,61559082,06/21/2024 04:31:59 PM,06/22/2024 02:22:23 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11413.0,135-49 230 STREET,230 STREET,135 AVENUE,137 AVENUE,135 AVENUE,137 AVENUE,ADDRESS,SPRINGFIELD GARDENS,230 STREET,,Closed,,The Department of Sanitation cleaned the location.,06/22/2024 11:48:39 AM,13 QUEENS,4131640012.0,QUEENS,1055837.0,184811.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.673650811228114,-73.74192654498924,"(40.673650811228114, -73.74192654498924)",15313.0,63.0,3.0,47.0,63.0,63.0,2024
722,61563461,06/21/2024 01:33:54 PM,06/24/2024 02:01:16 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11435.0,85-88 148 STREET,148 STREET,85 DRIVE,86 AVENUE,85 DRIVE,86 AVENUE,ADDRESS,JAMAICA,148 STREET,,Closed,,The Department of Sanitation removed the items.,06/24/2024 12:38:27 PM,08 QUEENS,4097240076.0,QUEENS,1036913.0,197472.0,PHONE,Unspecified,QUEENS,,,,,,,,40.70853505656051,-73.81004895060119,"(40.70853505656051, -73.81004895060119)",24670.0,25.0,3.0,24.0,65.0,65.0,2024
724,61560556,06/21/2024 12:29:15 PM,06/22/2024 02:22:24 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11413.0,135-49 230 STREET,230 STREET,135 AVENUE,137 AVENUE,135 AVENUE,137 AVENUE,ADDRESS,SPRINGFIELD GARDENS,230 STREET,,Closed,,The Department of Sanitation cleaned the location.,06/22/2024 11:48:38 AM,13 QUEENS,4131640012.0,QUEENS,1055837.0,184811.0,PHONE,Unspecified,QUEENS,,,,,,,,40.673650811228114,-73.74192654498924,"(40.673650811228114, -73.74192654498924)",15313.0,63.0,3.0,47.0,63.0,63.0,2024
725,61559111,06/21/2024 12:25:02 PM,06/24/2024 02:01:51 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11435.0,85-86 148 STREET,148 STREET,85 DRIVE,86 AVENUE,85 DRIVE,86 AVENUE,ADDRESS,JAMAICA,148 STREET,,Closed,,The Department of Sanitation removed the items.,06/24/2024 12:38:29 PM,08 QUEENS,4097240075.0,QUEENS,1036912.0,197491.0,PHONE,Unspecified,QUEENS,,,,,,,,40.70858721289215,-73.81005240890184,"(40.70858721289215, -73.81005240890184)",24670.0,25.0,3.0,24.0,65.0,65.0,2024
732,61557647,06/21/2024 08:02:44 AM,06/22/2024 02:22:24 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11413.0,135-49 230 STREET,230 STREET,135 AVENUE,137 AVENUE,135 AVENUE,137 AVENUE,ADDRESS,SPRINGFIELD GARDENS,230 STREET,,Closed,,The Department of Sanitation cleaned the location.,06/22/2024 11:48:38 AM,13 QUEENS,4131640012.0,QUEENS,1055837.0,184811.0,PHONE,Unspecified,QUEENS,,,,,,,,40.673650811228114,-73.74192654498924,"(40.673650811228114, -73.74192654498924)",15313.0,63.0,3.0,47.0,63.0,63.0,2024
741,61543187,06/20/2024 08:57:53 PM,06/22/2024 02:22:23 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11413.0,135-49 230 STREET,230 STREET,135 AVENUE,137 AVENUE,135 AVENUE,137 AVENUE,ADDRESS,SPRINGFIELD GARDENS,230 STREET,,Closed,,The Department of Sanitation cleaned the location.,06/22/2024 11:48:33 AM,13 QUEENS,4131640012.0,QUEENS,1055837.0,184811.0,PHONE,Unspecified,QUEENS,,,,,,,,40.673650811228114,-73.74192654498924,"(40.673650811228114, -73.74192654498924)",15313.0,63.0,3.0,47.0,63.0,63.0,2024
749,61541720,06/20/2024 03:12:46 PM,06/22/2024 01:47:31 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11366.0,75 AVENUE,75 AVENUE,75 AVENUE,186 STREET,75 AVENUE,186 STREET,INTERSECTION,,,,Closed,,The Department of Sanitation cleaned the location.,06/21/2024 07:08:52 AM,08 QUEENS,,QUEENS,1044128.0,205600.0,PHONE,Unspecified,QUEENS,,,,,,,,40.73079850714533,-73.78395283994766,"(40.73079850714533, -73.78395283994766)",14508.0,25.0,3.0,24.0,65.0,65.0,2024
